time,B&H,Classical,Fuzzy,Fuzzy C,Fuzzy PSO,Fuzzy C PSO
1696568400,3009.7986819763023,3009.7986819763023,,,,
1696572000,3015.1694823941907,3015.1694823941907,,,,
1696575600,3010.2401505826174,3010.2401505826174,,,,
1696579200,2977.1349005418692,2977.1349005418692,,,,
1696582800,2989.0191888759887,2989.0191888759887,,,,
1696586400,3004.448202479891,3004.448202479891,,,,
1696590000,3043.028000657154,3043.028000657154,,,,
1696593600,3041.5188304467138,3041.5188304467138,,,,
1696597200,3050.560051868999,3050.560051868999,,,,
1696600800,3057.9056012659908,3057.9056012659908,,,,
1696604400,3049.812015773938,3049.812015773938,,,,
1696608000,3054.7507282761976,3054.7507282761976,2987.619544426676,,,
1696611600,3052.807630284965,3052.807630284965,,,,
1696615200,3054.112463885038,3054.112463885038,,,,
1696618800,3054.1085044218985,3054.1085044218985,,,,
1696824000,3023.080116778793,3023.080116778793,,,,
1696827600,3020.862200047674,3020.862200047674,,,,
1696831200,3022.7090257373648,3022.7090257373648,,,,
1696834800,3022.199157546983,3022.199157546983,,,,
1696838400,3021.1597756049987,3021.1597756049987,,,,
1696842000,3031.601098480745,3031.601098480745,,,,
1696845600,3016.716614177522,3016.716614177522,,,,
1696849200,3025.4877072608947,3025.4877072608947,,,,
1696852800,3027.812329315164,3027.812329315164,,,,
1696856400,3052.6908317715747,3052.6908317715747,2986.03052691974,,,
1696860000,3057.163690314093,3057.163690314093,,,,
1696863600,3054.729410531999,3054.729410531999,,,,
1696867200,3054.0565761329935,3054.0565761329935,,,,
1696870800,3051.330885609416,3051.330885609416,,,,
1696874400,3053.4048824373954,3053.4048824373954,,,,
1696878000,3051.713171043566,3051.713171043566,,,,
1696910400,3063.014149708231,3063.014149708231,2984.456947049363,,,
1696914000,3061.6823506591845,3061.6823506591845,,,,
1696917600,3060.8870282039306,3060.8870282039306,,,,
1696921200,3051.473961367726,3051.473961367726,,,,
1696924800,3053.585974912155,3053.585974912155,,,,
1696928400,3074.8906126840902,3074.8906126840902,2979.5451968830857,,,
1696932000,3085.7331680583247,3085.7331680583247,2978.0413613834053,,,
1696935600,3092.6736904243057,3092.6736904243057,2976.5166071699223,,,
1696939200,3081.684415043349,3081.684415043349,,,,
1696942800,3067.442459769981,3067.442459769981,,,,
1696946400,3064.4896259204147,3064.4896259204147,,,,
1696950000,3064.9503594962957,3064.9503594962957,,,,
1696953600,3064.557127675122,3064.557127675122,,,,
1696957200,3065.3669282364513,3065.3669282364513,,,,
1696960800,3067.4684215784505,3067.4684215784505,,,,
1696964400,3069.7007745229917,3069.7007745229917,,,,
1696996800,3069.608178668921,3069.608178668921,,,,
1697000400,3071.0504367481876,3071.0504367481876,,,,
1697004000,3075.3664805513267,3075.3664805513267,,,,
1697007600,3077.787861080046,3077.787861080046,,,,
1697011200,3077.1357449843,3077.1357449843,,,,
1697014800,3080.5094987413277,3080.5094987413277,,,,
1697018400,3087.736040922168,3087.736040922168,,,,
1697022000,3073.684389785092,3073.684389785092,,,,
1697025600,3072.07271697327,3072.07271697327,,,,
1697029200,3069.258480946272,3069.258480946272,,,,
1697032800,3078.7782042537337,3078.7782042537337,,,,
1697036400,3085.0259647077673,3085.0259647077673,,,,
1697040000,3086.167533235398,3086.167533235398,,,,
1697043600,3084.964347658659,3084.964347658659,,,,
1697047200,3085.375238322531,3085.375238322531,,,,
1697050800,3085.553312392928,3085.553312392928,,,,
1697083200,3089.943990306669,3089.943990306669,,,,
1697086800,3093.88099226815,3093.88099226815,,,,
1697090400,3092.12021298964,3092.12021298964,,,,
1697094000,3091.422003431966,3091.422003431966,,,,
1697097600,3085.8604877617336,3085.8604877617336,,,,
1697101200,3083.831651955159,3083.831651955159,2973.419831057969,,,
1697104800,3088.475234232048,3088.475234232048,2968.594892289165,,,
1697108400,3092.97199876307,3092.97199876307,,,,
1697112000,3094.9449004741555,3094.9449004741555,,,,
1697115600,3064.936007501048,3064.936007501048,,,,
1697119200,3065.281643715007,3065.281643715007,,,,
1697122800,3072.6894939139393,3072.6894939139393,,,,
1697126400,3073.7795744624245,3073.7795744624245,,,,
1697130000,3073.4720944661876,3073.4720944661876,,,,
1697133600,3070.8842675003216,3070.8842675003216,,,,
1697137200,3073.9533714209674,3073.9533714209674,,,,
1697169600,3066.8669810140864,3066.8669810140864,,,,
1697173200,3057.6999653886887,3057.6999653886887,,,,
1697176800,3061.787762730135,3061.787762730135,,,,
1697180400,3063.624566716637,3063.624566716637,,,,
1697184000,3075.1021867011077,3075.1021867011077,,,,
1697187600,3099.750195170719,3099.750195170719,2894.7150388811783,,,
1697191200,3071.1100651116326,3071.1100651116326,,,,
1697194800,3060.434852685487,3060.434852685487,,,,
1697198400,3062.2019933600627,3062.2019933600627,,,,
1697202000,3052.2959263640614,3052.2959263640614,,,,
1697205600,3053.648169291815,3053.648169291815,2892.9588047945476,,,
1697209200,3048.1756628480816,3048.1756628480816,,,,
1697212800,3046.785230285938,3046.785230285938,,,,
1697216400,3045.634349875784,3045.634349875784,,,,
1697220000,3045.3720933745367,3045.3720933745367,,,,
1697223600,3042.4462182851626,3042.4462182851626,,,,
1697428800,3046.475563003877,3046.475563003877,2883.039420259589,2994.9239825270083,2994.9239825270083,2994.9239825270083
1697432400,3053.251879029794,3053.251879029794,,,,
1697436000,3045.8571495984525,3045.8571495984525,,,,
1697439600,3049.0778863322857,3049.0778863322857,,,,
1697443200,3055.451697475254,3055.451697475254,,,,
1697446800,3064.1803138153714,3064.1803138153714,2867.484094082743,,,
1697450400,3077.933419317601,3077.933419317601,2861.4213501204144,,,
1697454000,3070.6638456097053,3070.6638456097053,,,,
1697457600,3069.784520765012,3069.784520765012,2859.8758488350672,,,
1697461200,3072.303877684797,3072.303877684797,,,,
1697464800,3078.9362250759214,3078.9362250759214,,,,
1697468400,3073.1413586518247,3073.1413586518247,,,,
1697472000,3073.4090554405266,3073.4090554405266,,,,
1697475600,3048.3957121852286,3048.3957121852286,2853.7474991051495,,,
1697479200,3072.4173627789305,3072.4173627789305,2851.473523485403,,,
1697482800,3071.1700048647967,3071.1700048647967,,,,
1697515200,3073.4647676921377,3073.4647676921377,,,,
1697518800,3064.432546723166,3064.432546723166,,,,
1697522400,3063.168409013726,3063.168409013726,,,,
1697526000,3061.4713799479887,3061.4713799479887,,,,
1697529600,3050.3451440453787,3050.3451440453787,,,,
1697533200,3050.0948928834873,3050.0948928834873,,,,
1697536800,3066.593666681704,3066.593666681704,,,,
1697540400,3082.6855246950627,3082.6855246950627,,,,
1697544000,3086.3891092754147,3086.3891092754147,,,,
1697547600,3071.8624470197847,3071.8624470197847,,,,
1697551200,3069.315197980438,3069.315197980438,,,,
1697554800,3077.8828960976584,3077.8828960976584,,,,
1697558400,3080.880889845801,3080.880889845801,,,,
1697562000,3074.9660015360396,3074.9660015360396,,,,
1697565600,3077.824613772728,3077.824613772728,,,,
1697569200,3077.3649622242824,3077.3649622242824,,,,
1697601600,3070.743702013982,3070.743702013982,,,,
1697605200,3068.9627529579475,3068.9627529579475,,,,
1697608800,3063.012658170619,3063.012658170619,,,,
1697612400,3067.663460148393,3067.663460148393,,,,
1697616000,3062.4124629997636,3062.4124629997636,,,,
1697619600,3073.0816133725607,3073.0816133725607,,,,
1697623200,3058.180012246635,3058.180012246635,,,,
1697626800,3058.598427668815,3058.598427668815,2843.3830280630423,2991.863581530996,2991.863581530996,2991.863581530996
1697630400,3047.3312487899043,3047.3312487899043,2825.8235375657646,2986.2081669603826,2986.2081669603826,2986.2081669603826
1697634000,3056.696721166916,3056.696721166916,2830.403889908781,2989.2624222795316,2989.2624222795316,
1697637600,3047.2991173091764,3047.2991173091764,,,,
1697641200,3043.976419872873,3043.976419872873,,,,
1697644800,3050.5871838913313,3050.5871838913313,,,,
1697648400,3037.6031659251985,3037.6031659251985,2820.824347038262,2993.725976026984,2993.725976026984,2984.6288051321712
1697652000,3026.7574021387104,3026.7574021387104,2855.202098946184,2987.798116971272,2987.798116971272,2978.7009460764593
1697655600,3022.276835301358,3022.276835301358,2874.8211110327084,,,
1697688000,3012.8159696401253,3012.8159696401253,2877.955576081838,,,
1697691600,3019.8325993579183,3019.8325993579183,,,,
1697695200,3016.922718722952,3016.922718722952,2888.9264871993178,,,
1697698800,3009.931692772117,3009.931692772117,2916.7364907749193,,,
1697702400,3015.92230084447,3015.92230084447,,,,
1697706000,3013.169056493172,3013.169056493172,2933.876522120098,,,
1697709600,3000.0413995271774,3000.0413995271774,2952.8770484551615,,,
1697713200,3003.289773367301,3003.289773367301,,,,
1697716800,3011.359744214774,3011.359744214774,2944.6106004510907,2990.82729861644,2990.82729861644,
1697720400,3005.2222785966896,3005.2222785966896,2958.5247719815848,,,
1697724000,2986.34211299017,2986.34211299017,2980.1165536090894,,,
1697727600,2986.9083217142074,2986.9083217142074,,,,
1697731200,2979.970571520832,2979.970571520832,,,,
1697734800,2976.8915569690753,2976.8915569690753,,,,
1697738400,2975.012551504945,2975.012551504945,,,,
1697742000,2975.7123924070374,2975.7123924070374,,,,
1697774400,2984.51556688101,2984.51556688101,,,,
1697778000,2978.0863635903634,2978.0863635903634,,,,
1697781600,2973.3936571521526,2973.3936571521526,,,,
1697785200,2979.040916888069,2979.040916888069,,,,
1697788800,2971.2650387913377,2971.2650387913377,,,,
1697792400,2974.8254019015576,2974.8254019015576,,,,
1697796000,2955.4912890497853,2955.4912890497853,2988.763286223098,,,
1697799600,2957.666663229255,2957.666663229255,,,,
1697803200,2965.605878551871,2965.605878551871,,,,
1697806800,2961.063639360686,2961.063639360686,,,,
1697810400,2949.6283445665413,2949.6283445665413,,,,
1697814000,2943.069794405535,2943.069794405535,,,,
1697817600,2943.946806205833,2943.946806205833,2985.265676073086,,,
1697821200,2944.6169348934372,2944.6169348934372,,,,
1697824800,2942.5151704836885,2942.5151704836885,2981.7580766072606,,,
1697828400,2944.206933223541,2944.206933223541,,,,
1698033600,2934.319387393128,2934.319387393128,2974.946315758374,,,
1698037200,2915.0368838112877,2915.0368838112877,3002.450259460208,2986.1960626773475,2986.1960626773475,2974.0697101373667
1698040800,2920.6859375938375,2920.6859375938375,,,,
1698044400,2927.2894148365717,2927.2894148365717,,,,
1698048000,2929.1310300912182,2929.1310300912182,,,,
1698051600,2928.5125130336005,2928.5125130336005,3016.6196050158383,,,
1698055200,2947.7511692574467,2947.7511692574467,3012.053709164263,,,
1698058800,2955.0402520723424,2955.0402520723424,,,,
1698062400,2970.890260983999,2970.890260983999,,,,
1698066000,2960.5690774619197,2960.5690774619197,,,,
1698069600,2955.962621208284,2955.962621208284,,,,
1698073200,2938.7558214336923,2938.7558214336923,3008.3813606571293,,,
1698076800,2946.218567367562,2946.218567367562,,,,
1698080400,2944.0578685869314,2944.0578685869314,,,,
1698084000,2944.91217716059,2944.91217716059,,,,
1698087600,2949.117770337963,2949.117770337963,,,,
1698120000,2955.671740101498,2955.671740101498,,,,
1698123600,2960.8909483050843,2960.8909483050843,,,,
1698127200,2960.984878576819,2960.984878576819,,,,
1698130800,2964.1038497318636,2964.1038497318636,,,,
