time,B&H,Classical,Fuzzy,Fuzzy C,Fuzzy PSO,Fuzzy C PSO
1696093200,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1696096800,2996.3222990114573,2996.3222990114573,,,,
1696100400,2999.319804000314,2999.319804000314,,,,
1696104000,3000.53704701721,3000.53704701721,,,,
1696107600,2993.292820889957,2993.292820889957,,,,
1696111200,2993.659638799985,2993.659638799985,,,,
1696114800,2987.1648899810807,2987.1648899810807,,,,
1696118400,2991.4677916974274,2991.4677916974274,,,,
1696122000,2992.068892932334,2992.068892932334,,,,
1696125600,2993.0532782156592,2993.0532782156592,,,,
1696129200,2995.594353653674,2995.594353653674,,,,
1696132800,2995.7704492284665,2995.7704492284665,,,,
1696136400,2997.602279082966,2997.602279082966,,,,
1696140000,3000.429289347353,3000.429289347353,,,,
1696143600,2998.431260059724,2998.431260059724,,,,
1696147200,3000.4609693755006,3000.4609693755006,,,,
1696150800,3010.276320964738,3010.276320964738,,,,
1696154400,3012.5620600180573,3012.5620600180573,,,,
1696158000,3013.135738280365,3013.135738280365,,,,
1696161600,3011.577771067769,3011.577771067769,,,,
1696165200,3008.8853782859314,3008.8853782859314,,,,
1696168800,3002.075481066216,3002.075481066216,,,,
1696172400,3007.1404883658065,3007.1404883658065,,,,
1696176000,3000.169861894527,3000.169861894527,,,,
1696179600,2986.8287690504576,2986.8287690504576,,,,
1696183200,2991.7107325315155,2991.7107325315155,,,,
1696186800,2993.2378378250337,2993.2378378250337,,,,
1696190400,2991.3218273733946,2991.3218273733946,,,,
1696194000,2998.6340358749194,2998.6340358749194,,,,
1696197600,3083.720598039817,3083.720598039817,,,,
1696201200,3079.4181272623177,3079.4181272623177,,,,
1696204800,3067.868741340186,3067.868741340186,,,,
1696208400,3078.516335006677,3078.516335006677,,,,
1696212000,3077.3593763029808,3077.3593763029808,,,,
1696215600,3086.3792383581504,3086.3792383581504,,,,
1696219200,3081.441064560278,3081.441064560278,,,,
1696222800,3069.9187479989987,3069.9187479989987,,,,
1696226400,3082.337120650449,3082.337120650449,,,,
1696230000,3097.109193757673,3097.109193757673,,,,
