time,B&H,Classical,Fuzzy,Fuzzy C,Fuzzy PSO,Fuzzy C PSO
1696093200,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1696222800,2986.8587132011303,,,,,
1696226400,2985.6600777322483,,,,,
1696230000,2981.0187594958,,,,,
1696233600,2968.7939837873973,,,,,
1696237200,2971.5955274369885,,,,,
1696240800,2974.1005777303485,,,,,
1696244400,2978.228565374277,,,,,
1696248000,2976.8536393784843,,,,,
1696251600,2978.164240481081,,,,,
1696255200,2975.2911086388012,,,,,
1696258800,2990.453342177307,,,,,
1696262400,2990.3860743133755,,,,,
1696266000,2990.060014535443,,,,,
1696269600,2991.4819267183266,,,,,
1696273200,2991.1514295653988,,,,,
1696305600,2989.861075159428,,,,,
1696309200,2987.334815201477,,,,,
1696312800,2986.7881543838485,,,,,
1696316400,2971.9663996705963,,,,,
1696320000,2964.9869956735743,,,,,
1696323600,2990.415167111347,,,,,
1696327200,2955.320600975847,,,,,
1696330800,2963.5321549619925,,,,,
1696334400,2967.9995264568097,,,,,
1696338000,2960.617320961671,,,,,
1696341600,2958.712323895667,,,,,
1696345200,2961.654895362027,,,,,
1696348800,2958.2387806275124,,,,,
1696352400,2958.581993775641,,,,,
1696356000,2960.40239403573,,,,,
1696359600,2957.0966788247842,,,,,
1696392000,2950.237501481013,,,,,
1696395600,2953.3932466552264,,,,,
1696399200,2952.999655313019,,,,,
1696402800,2964.6748799898023,,,,,
1696406400,2968.626705263009,,,,,
1696410000,2981.00697257919,,,,,
1696413600,2981.674489474382,,,,,
1696417200,3000.5799670915744,,,,,
1696420800,2997.8808226503497,,,,,
1696424400,2988.392104815672,,,,,
1696428000,2997.922836760783,2995.4387604245917,,,,
1696431600,3010.600460919058,2994.369405585882,,,,
1696435200,3008.6233896253752,,,,,
1696438800,3003.385274721698,,,,,
1696442400,3003.2247009561934,,,,,
1696446000,3003.500128481559,,,,,
1696478400,2996.370573106016,,,,,
1696482000,2997.8242707341537,,,,,
1696485600,3002.416722130038,,,,,
1696489200,3009.8362522023867,,,,,
1696492800,2998.4233405343693,,,,,
1696496400,3001.031648209654,,,,,
1696500000,2988.583595599517,,,,,
1696503600,2990.4760214056546,,,,,
1696507200,2995.34071744912,,,,,
1696510800,3010.603944227254,,,,,
1696514400,3018.3926290760573,,,,,
1696518000,3013.031272974612,,,,,
1696521600,3009.9961987450315,,,,,
1696525200,3010.0687086633807,,,,,
1696528800,3011.1000294267087,,,,,
1696532400,3009.223393539103,,,,,
1696564800,3005.897136129961,,,,,
1696568400,3009.7986819763023,,,,,
1696572000,3015.1694823941907,,,,,
1696575600,3010.2401505826174,,,,,
1696579200,2977.1349005418692,,,,,
1696582800,2989.0191888759887,,,,,
1696586400,3004.448202479891,,,,,
1696590000,3043.028000657154,,,,,
1696593600,3041.5188304467138,,,,,
1696597200,3050.560051868999,,,,,
1696600800,3057.9056012659908,,,,,
1696604400,3049.812015773938,,,,,
1696608000,3054.7507282761976,2991.3006174523207,,,,
1696611600,3052.807630284965,,,,,
1696615200,3054.112463885038,,,,,
1696618800,3054.1085044218985,,,,,
1696824000,3023.080116778793,,,,,
1696827600,3020.862200047674,,,,,
1696831200,3022.7090257373648,,,,,
1696834800,3022.199157546983,,,,,
1696838400,3021.1597756049987,,,,,
1696842000,3031.601098480745,,,,,
1696845600,3016.716614177522,,,,,
1696849200,3025.4877072608947,,,,,
1696852800,3027.812329315164,,,,,
1696856400,3052.6908317715747,,,,,
1696860000,3057.163690314093,,,,,
1696863600,3054.729410531999,,,,,
1696867200,3054.0565761329935,,,,,
1696870800,3051.330885609416,,,,,
1696874400,3053.4048824373954,,,,,
1696878000,3051.713171043566,,,,,
1696910400,3063.014149708231,,,,,
1696914000,3061.6823506591845,,,,,
1696917600,3060.8870282039306,,,,,
1696921200,3051.473961367726,,,,,
1696924800,3053.585974912155,,,,,
1696928400,3074.8906126840902,2986.3888672860435,,,,
1696932000,3085.7331680583247,2984.885031786363,,,,
1696935600,3092.6736904243057,2983.36027757288,,,,
1696939200,3081.684415043349,,,,,
1696942800,3067.442459769981,,,,,
1696946400,3064.4896259204147,,,,,
1696950000,3064.9503594962957,,,,,
1696953600,3064.557127675122,,,,,
1696957200,3065.3669282364513,,,,,
1696960800,3067.4684215784505,,,,,
1696964400,3069.7007745229917,,,,,
1696996800,3069.608178668921,,,,,
1697000400,3071.0504367481876,,,,,
1697004000,3075.3664805513267,,,,,
1697007600,3077.787861080046,,,,,
1697011200,3077.1357449843,,,,,
1697014800,3080.5094987413277,,,,,
1697018400,3087.736040922168,,,,,
1697022000,3073.684389785092,,,,,
1697025600,3072.07271697327,,,,,
1697029200,3069.258480946272,,,,,
1697032800,3078.7782042537337,,,,,
1697036400,3085.0259647077673,,,,,
1697040000,3086.167533235398,,,,,
1697043600,3084.964347658659,,,,,
1697047200,3085.375238322531,,,,,
1697050800,3085.553312392928,,,,,
1697083200,3089.943990306669,,,,,
1697086800,3093.88099226815,,,,,
1697090400,3092.12021298964,,,,,
1697094000,3091.422003431966,,,,,
1697097600,3085.8604877617336,,,,,
1697101200,3083.831651955159,2980.263501460927,,,,
1697104800,3088.475234232048,2977.0096609580187,,,,
1697108400,3092.97199876307,,,,,
1697112000,3094.9449004741555,,,,,
1697115600,3064.936007501048,,,,,
1697119200,3065.281643715007,,,,,
1697122800,3072.6894939139393,,,,,
1697126400,3073.7795744624245,,,,,
1697130000,3073.4720944661876,,,,,
1697133600,3070.8842675003216,,,,,
1697137200,3073.9533714209674,,,,,
1697169600,3066.8669810140864,,,,,
1697173200,3057.6999653886887,,,,,
1697176800,3061.787762730135,,,,,
1697180400,3063.624566716637,,,,,
1697184000,3075.1021867011077,,,,,
1697187600,3099.750195170719,2944.8041831925493,,,,
1697191200,3071.1100651116326,,,,,
1697194800,3060.434852685487,,,,,
1697198400,3062.2019933600627,,,,,
1697202000,3052.2959263640614,,,,,
1697205600,3053.648169291815,2943.5433621602247,,,,
1697209200,3048.1756628480816,,,,,
1697212800,3046.785230285938,,,,,
1697216400,3045.634349875784,,,,,
1697220000,3045.3720933745367,,,,,
1697223600,3042.4462182851626,,,,,
1697428800,3046.475563003877,2941.8113236199015,2992.120193571701,2991.550287872644,2992.120193571701,2991.550287872644
1697432400,3053.251879029794,,,,,
1697436000,3045.8571495984525,,,,,
1697439600,3049.0778863322857,,,,,
1697443200,3055.451697475254,,,,,
1697446800,3064.1803138153714,2939.943753234083,,,,
1697450400,3077.933419317601,2938.414467026537,,,,
1697454000,3070.6638456097053,,,,,
1697457600,3069.784520765012,,,,,
1697461200,3072.303877684797,,,,,
1697464800,3078.9362250759214,,,,,
