time,B&H,Classical,Fuzzy,Fuzzy C,Fuzzy PSO,Fuzzy C PSO
1696093200,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1696096800,2996.3222990114573,,,,,
1696100400,2999.319804000314,,,,,
1696104000,3000.53704701721,,,,,
1696107600,2993.292820889957,,,,,
1696111200,2993.659638799985,,,,,
1696114800,2987.1648899810807,,,,,
1696118400,2991.4677916974274,,,,,
1696122000,2992.068892932334,,,,,
1696125600,2993.0532782156592,,,,,
1696129200,2995.594353653674,,,,,
1696132800,2995.7704492284665,,,,,
1696136400,2997.602279082966,,,,,
1696140000,3000.429289347353,,,,,
1696143600,2998.431260059724,,,,,
1696147200,3000.4609693755006,,,,,
1696150800,3010.276320964738,,,,,
1696154400,3012.5620600180573,,,,,
1696158000,3013.135738280365,,,,,
1696161600,3011.577771067769,,,,,
1696165200,3008.8853782859314,,,,,
1696168800,3002.075481066216,,,,,
1696172400,3007.1404883658065,,,,,
1696176000,3000.169861894527,,,,,
1696179600,2986.8287690504576,,,,,
1696183200,2991.7107325315155,,,,,
1696186800,2993.2378378250337,,,,,
1696190400,2991.3218273733946,,,,,
1696194000,2998.6340358749194,,,,,
1696197600,3083.720598039817,,,,,
1696201200,3079.4181272623177,,,,,
1696204800,3067.868741340186,,,,,
1696208400,3078.516335006677,,,,,
1696212000,3077.3593763029808,,,,,
1696215600,3086.3792383581504,,,,,
1696219200,3081.441064560278,,,,,
1696222800,3069.9187479989987,,,,,
1696226400,3082.337120650449,,,,,
1696230000,3097.109193757673,,,,,
1696233600,3097.773738953985,,,,,
1696237200,3094.5966209132293,,,,,
1696240800,3094.716703735564,,,,,
1696244400,3084.6121020197165,,,,,
1696248000,3094.2478685357337,,,,,
1696251600,3100.0942191320773,,,,,
1696255200,3081.405294129092,,,,,
1696258800,3046.281374509839,,,,,
1696262400,3043.8383753322364,,,,,
1696266000,3047.6284261587375,,,,,
1696269600,3008.3403233604276,,,,,
1696273200,3028.6327672201314,,,,,
1696276800,3016.4795380367964,,,,,
1696280400,2993.3251015041014,,,,,
1696284000,3002.9037944320385,,,,,
1696287600,3001.7994398429296,,,,,
1696291200,2999.702473717218,,,,,
1696294800,3010.894228236721,,,,,
1696298400,3011.2919900207094,,,,,
1696302000,3011.456907466339,,,,,
1696305600,3015.45164466136,,,,,
1696309200,3008.226606028789,,,,,
1696312800,3014.2757315047343,,,,,
1696316400,3006.7624997124135,,,,,
1696320000,3010.8793265691656,,,,,
1696323600,3004.4619716838815,,,,,
1696327200,3007.805783219568,,,,,
1696330800,2997.3655434108823,,,,,
1696334400,2994.5385377433518,,,,,
1696338000,3003.000186015284,,,,,
1696341600,2984.026667175339,,,,,
1696345200,2982.8691666476007,,,,,
1696348800,2986.7930323983337,,,,,
1696352400,2991.778705139379,,,,,
1696356000,2980.105032808826,,,,,
1696359600,2978.5814392386123,,,,,
1696363200,2990.05516151099,,,,,
1696366800,2988.158680434638,,,,,
1696370400,2990.484324945175,,,,,
1696374000,2990.89707363278,,,,,
1696377600,2967.752530482584,,,,,
1696381200,2968.747402539033,,,,,
1696384800,2974.907665740787,,,,,
1696388400,2975.1450550077857,,,,,
1696392000,2967.358773516414,,,,,
1696395600,2972.298979215232,,,,,
1696399200,2975.5316124754263,,,,,
1696402800,2978.674508134673,,,,,
1696406400,2983.9826228251304,,,,,
1696410000,2992.6021616095913,,,,,
1696413600,2983.364921834636,,,,,
1696417200,2985.545760885178,,,,,
1696420800,2987.6068223287243,,,,,
1696424400,2972.213935773112,,,,,
1696428000,2969.3074107433404,,,,,
1696431600,2967.759052670106,,,,,
1696435200,2978.2375469756694,,,,,
1696438800,2978.929446457485,,,,,
1696442400,2986.823053936117,,,,,
1696446000,2986.4890205623697,,,,,
1696449600,2986.9592381568127,,,,,
1696453200,2991.4789090159975,,,,,
1696456800,2998.0326504262694,,,,,
1696460400,2997.334237601869,,,,,
1696464000,3001.2415250289923,,,,,
1696467600,2994.607311864738,,,,,
1696471200,2990.132666994897,,,,,
1696474800,2986.806003601196,,,,,
1696478400,2990.834654189739,,,,,
1696482000,2985.728745368678,,,,,
1696485600,2984.6691666710703,,,,,
1696489200,2980.1291663195966,,,,,
